Dwelling Age,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
55,1.2201,1.4107,0.9219,1.2113,0.9318,1.1676,1.0000,0.9481,1.0000,2.4379
56,1.2263,1.4107,0.9219,1.2196,0.9252,1.1723,1.0000,0.9481,1.0000,2.4379
57,1.2325,1.4107,0.9219,1.2280,0.9185,1.1768,1.0000,0.9481,1.0000,2.4379
58,1.2385,1.4107,0.9219,1.2364,0.9117,1.1813,1.0000,0.9481,1.0000,2.4379
59,1.2445,1.4107,0.9219,1.2449,0.9049,1.1858,1.0000,0.9481,1.0000,2.4379
60,1.2504,1.4107,0.9219,1.2534,0.8979,1.1902,1.0000,0.9481,1.0000,2.4379
61,1.2563,1.4107,0.9219,1.2621,0.8909,1.1945,1.0000,0.9481,1.0000,2.4379
62,1.2621,1.4107,0.9219,1.2707,0.8839,1.1988,1.0000,0.9481,1.0000,2.4379
63,1.2678,1.4107,0.9219,1.2795,0.8768,1.2030,1.0000,0.9481,1.0000,2.4379
64,1.2734,1.4107,0.9219,1.2882,0.8696,1.2072,1.0000,0.9481,1.0000,2.4379
65,1.2790,1.4107,0.9219,1.2971,0.8624,1.2113,1.0000,0.9481,1.0000,2.4379
66,1.2846,1.4107,0.9219,1.3060,0.8552,1.2113,1.0000,0.9481,1.0000,2.4379
67,1.2900,1.4107,0.9219,1.3150,0.8480,1.2113,1.0000,0.9481,1.0000,2.4379
68,1.2955,1.4107,0.9219,1.3240,0.8408,1.2113,1.0000,0.9481,1.0000,2.4379
69,1.3008,1.4107,0.9219,1.3331,0.8335,1.2113,1.0000,0.9481,1.0000,2.4379
70,1.3061,1.4107,0.9219,1.3423,0.8262,1.2113,1.0000,0.9481,1.0000,2.4379
71,1.3114,1.4107,0.9219,1.3515,0.8190,1.2113,1.0000,0.9481,1.0000,2.4379
72,1.3166,1.4107,0.9219,1.3608,0.8117,1.2113,1.0000,0.9481,1.0000,2.4379
73,1.3217,1.4107,0.9219,1.3701,0.8045,1.2113,1.0000,0.9481,1.0000,2.4379
74,1.3268,1.4107,0.9219,1.3795,0.7972,1.2113,1.0000,0.9481,1.0000,2.4379
75,1.3319,1.4107,0.9219,1.3890,0.7900,1.2113,1.0000,0.9481,1.0000,2.4379
76,1.3319,1.4107,0.9219,1.3985,0.7828,1.2113,1.0000,0.9481,1.0000,2.4379
77,1.3319,1.4107,0.9219,1.4081,0.7756,1.2113,1.0000,0.9481,1.0000,2.4379
78,1.3319,1.4107,0.9219,1.4178,0.7684,1.2113,1.0000,0.9481,1.0000,2.4379
79,1.3319,1.4107,0.9219,1.4275,0.7613,1.2113,1.0000,0.9481,1.0000,2.4379
80,1.3319,1.4107,0.9219,1.4374,0.7541,1.2113,1.0000,0.9481,1.0000,2.4379
81,1.3319,1.4107,0.9219,1.4374,0.7471,1.2113,1.0000,0.9481,1.0000,2.4379
82,1.3319,1.4107,0.9219,1.4374,0.7400,1.2113,1.0000,0.9481,1.0000,2.4379
83,1.3319,1.4107,0.9219,1.4374,0.7330,1.2113,1.0000,0.9481,1.0000,2.4379
84,1.3319,1.4107,0.9219,1.4374,0.7260,1.2113,1.0000,0.9481,1.0000,2.4379
85,1.3319,1.4107,0.9219,1.4374,0.7191,1.2113,1.0000,0.9481,1.0000,2.4379
86,1.3319,1.4107,0.9219,1.4374,0.7122,1.2113,1.0000,0.9481,1.0000,2.4379
87,1.3319,1.4107,0.9219,1.4374,0.7053,1.2113,1.0000,0.9481,1.0000,2.4379
88,1.3319,1.4107,0.9219,1.4374,0.6985,1.2113,1.0000,0.9481,1.0000,2.4379
89,1.3319,1.4107,0.9219,1.4374,0.6917,1.2113,1.0000,0.9481,1.0000,2.4379
90,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
91,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
92,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
93,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
94,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
95,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
96,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
97,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
98,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
99,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
100+,1.3319,1.4107,0.9219,1.4374,0.6850,1.2113,1.0000,0.9481,1.0000,2.4379
